País,GDP 2018,GDP 2019,GDP 2020,GDP 2021
Aruba,3202234636.87151,3368970253.05286,2610038937.56355,3126019399.06492
Africa Eastern and Southern,1016696893390.38,1009051505055.59,934179085451.04,1089454323810.36
Afghanistan,18418848299.5825,18904490262.913,20143442150.971,14786861638.4535
Africa Western and Central,766359667820.703,794719102944.191,784799699387.377,840187283626.448
Angola,77792944471.9494,69309110145.7687,53619073505.1377,67404287260.3199
Albania,15156432309.8977,15401830754.0773,15131866270.5936,18255787479.1846
Andorra,3218316013.22626,3155065487.51819,2891022272.98687,3330281523.53915
Arab World,2800428454533.12,2818359324481.87,2491175410790.0,2862987423061.49
United Arab Emirates,427049432149.345,417989721734.494,349473015336.939,415021590683.006
Argentina,524819742918.669,447754609218.678,385540224628.292,487227339102.67
Armenia,12457941907.0333,13619291361.2814,12641697523.2966,13861409968.835
American Samoa,639000000.0,647000000.0,716000000.0,709000000.0
Antigua and Barbuda,1605944444.44444,1687533333.33333,1370281481.48148,1471125925.92593
Australia,1428288504767.07,1392227864397.08,1326901059123.21,1552667363236.06
Austria,454991174096.102,444621176100.548,435225238000.437,480368403893.364
Azerbaijan,47112941176.4706,48174235294.1176,42693000000.0,54622176470.5882
Burundi,2660123597.70762,2576518846.39,2649671998.86192,2779813489.02447
Belgium,543299066998.902,535830876745.097,525211810652.608,594104177539.525
Benin,14262408079.7014,14391686309.033,15651545208.8783,17144918952.4682
Burkina Faso,15890065019.7634,16178162030.0694,17933606353.1775,19737615114.3661
Bangladesh,321379023557.462,351238474244.667,373902134700.41,416264942893.326
Bulgaria,66363537115.2686,68915875214.6537,70240275010.1964,84056312734.3089
Bahrain,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
"Bahamas, The",12755800000.0,13192800000.0,9699500000.0,11208600000.0
Bosnia and Herzegovina,20183510863.0054,20202479537.5193,19950471170.6465,23365361635.2201
Belarus,60031262269.3365,64409647193.8044,61371126414.1663,68205380706.6609
Belize,2315000000.0,2416500000.0,2080000000.0,2491500000.0
Bermuda,7225977000.0,7423465000.0,6887147000.0,7286607000.0
Bolivia,40287647930.4761,40895322843.7851,36629843805.0216,40408208528.1599
Brazil,1916947014067.55,1873274432754.47,1448559976218.19,1608981456325.08
Barbados,5097283200.0,5324250000.0,4671800000.0,4843800000.0
Brunei Darussalam,13567351175.0315,13469422958.5105,12005825759.223,14006569575.68
Bhutan,2446866404.93058,2535657069.05537,2325184481.4277,2539552984.67797
Botswana,17031901441.1765,16695928792.5697,14930072458.5814,17614791265.6824
Central African Republic,2220978978.17342,2221301400.72468,2326720920.59223,2516498299.01212
Canada,1725329192783.02,1742015045482.31,1645423407568.36,1988336331717.42
Central Europe and the Baltics,1649466156164.77,1675083820501.22,1664902507747.84,1901935313869.67
Switzerland,725568717468.001,721369112726.724,739913619797.445,800640155387.26
Channel Islands,,,,
Chile,295402652037.155,278584733103.01,252727193710.018,317058508651.76
China,13894817549374.2,14279937500606.5,14687673892882.0,17734062645371.4
Cote d'Ivoire,58011466450.8643,58539424929.7248,61348579465.1017,70043191477.0454
Cameroon,39973839064.6084,39670977332.7348,40773241531.2395,45338283344.8175
"Congo, Dem. Rep.",47568210068.5136,51775830725.8441,48716960860.0664,55350968593.0597
"Congo, Rep.",13670036996.0023,12750339022.9915,10483151175.8451,13366230219.5352
Colombia,334198218100.719,323109540251.855,270299984937.97,314464137241.33
Comoros,1188797574.94753,1195019559.09381,1225039230.74083,1296089632.60039
Cabo Verde,1966501117.61028,1981845740.70615,1703698676.69742,1936174043.45293
Costa Rica,62420165099.7231,64417670082.6127,62158002233.0279,64282438666.739
Caribbean small states,76350610223.413,77428424853.8962,65896805290.3286,75295300457.2966
Cuba,100050000000.0,103428000000.0,107352000000.0,
Curacao,3020388826.81564,2995185474.86034,2496174748.60335,2699612458.10056
Cayman Islands,5530377535.1014,5943589103.56414,5608989199.56798,5898449687.97711
Cyprus,25596474964.5725,25944504645.6957,25008448886.3507,28407867534.0035
Czechia,249000540729.179,252548179964.897,245974558654.043,281777887121.451
Germany,3974443355019.6,3888226035921.56,3889668895299.62,4259934911821.64
Djibouti,2913466732.12507,3088853638.56832,3181071153.6622,3482987379.0942
Dominica,554770370.37037,611537037.037037,504214814.814815,554181481.481481
Denmark,356841216410.068,346498737961.635,355222449505.211,398303272764.46
Dominican Republic,85555378042.8196,88941299733.5018,78844702329.0785,94243453937.4462
Algeria,174910878623.049,171767403748.19,145009181490.62,163044443983.759
East Asia & Pacific (excluding high income),16640444719655.7,17207855739652.5,17486916629390.6,20751789915914.3
Early-demographic dividend,11421920659971.4,11638001740869.6,10851370332817.7,12637296304146.5
East Asia & Pacific,26482255890882.1,27028297830157.6,27127309724583.3,30911686458694.3
Europe & Central Asia (excluding high income),3182536273975.65,3248640014760.21,2982626888407.66,3517372658753.68
Europe & Central Asia,23193558169075.9,22909981097693.6,22139980728586.8,25082834224986.1
Ecuador,107562008000.0,108108009000.0,99291124000.0,106165866000.0
"Egypt, Arab Rep.",249712999437.254,303080865603.645,365252651278.852,404142766093.053
Euro area,13698192868965.1,13418170804151.7,13085484520637.5,14563282816938.9
Eritrea,,,,
Spain,1421702715218.04,1394320055129.41,1276962685648.25,1427380681294.55
Estonia,30624720196.229,31081901909.2156,31370395572.7658,37191166151.98
Ethiopia,84269348327.3454,95912590628.1412,107657734392.446,111271112329.975
European Union,15980834651544.8,15693403575262.4,15369441264656.7,17177419592825.0
Fragile and conflict affected situations,1739933265067.11,1804386435814.39,1680894123972.54,1799023437650.12
Finland,275708001767.843,268514916972.549,271891788362.647,297301883523.251
Fiji,5581371847.61641,5481675173.38011,4477040340.45226,4296304590.01135
France,2790956878746.66,2728870246705.88,2639008701648.26,2957879759263.52
Faroe Islands,3188610521.64824,3275706960.14634,3248696901.60652,3649886275.07118
"Micronesia, Fed. Sts.",401932300.0,412000000.0,408000000.0,404028900.0
Gabon,16867326389.8704,16874405460.1955,15314577167.8211,20216843173.9702
United Kingdom,2878152147315.82,2857057847953.02,2704609160088.15,3131377762925.95
Georgia,17596922469.9152,17470436258.5131,15842922532.7202,18629365597.0017
Ghana,67299280679.563,68337537815.7703,70043199813.6885,77594279054.8795
Gibraltar,,,,
Guinea,11857030336.5252,13442861443.7506,14177835816.2777,16091817842.2342
"Gambia, The",1670670668.5939,1813608279.65044,1812169483.72578,2038417462.37695
Guinea-Bissau,1504630120.99275,1439638443.38133,1431758242.90375,1638517533.16504
Equatorial Guinea,13097011143.2874,11364133801.8914,10099158074.7273,12269392839.7472
Greece,212049447242.111,205257014892.502,188925995936.807,214873879833.648
Grenada,1166511111.11111,1213485185.18519,1043414814.81481,1122807407.40741
Greenland,3055791340.7025,2994332323.74726,3076015346.7541,
Guatemala,73328024537.1848,77170421167.5134,77625486978.2561,85985752107.4679
Guam,6056000000.0,6366000000.0,5886000000.0,6123000000.0
Guyana,4787636237.24043,5173760191.84652,5471256594.72422,8044498800.95923
High income,54799160857050.5,55272928209105.5,53874554655356.4,59829674153980.1
"Hong Kong SAR, China",361731070995.726,363052489184.395,344932192028.051,369176400967.427
Honduras,24067778953.842,25089976946.7736,23827840809.7014,28488668301.6401
Heavily indebted poor countries (HIPC),770673129573.497,797571800632.385,803236484236.191,891901460388.385
Croatia,62316840749.9705,62327983579.5899,57472012426.6853,68955083280.1922
Haiti,16455034352.7671,14785839382.9002,14508218017.4032,20944392615.0803
Hungary,160564628963.713,163988594921.902,157182045260.23,181848022233.89
IBRD only,30603243270660.4,31250632838977.7,30068953560995.4,35511412304437.1
IDA & IBRD total,32891739875317.8,33600177295748.1,32404400348760.8,38062847856443.9
IDA total,2287680071731.45,2348783962878.72,2335046416001.58,2549112031362.93
IDA blend,1048387429588.39,1042643234199.04,1002074719263.99,1096478315864.49
Indonesia,1042271531011.99,1119099868265.25,1058688935454.78,1186092991320.04
IDA only,1240501586432.47,1308461393704.39,1336381367316.97,1456252171238.16
Isle of Man,7491969312.87525,7315388052.08067,,
India,2702929718960.46,2831552222519.99,2667687951796.5,3176295065497.24
Not classified,,,,
Ireland,385736680797.118,399321701632.431,425852281928.121,504182603275.542
"Iran, Islamic Rep.",331682036227.963,283746685180.338,239735571102.495,359713152725.063
Iraq,227367469034.031,233636097800.338,184369797315.436,207889333724.138
Iceland,26264127686.6137,24826102119.6357,21694674809.9321,25602419210.3374
Israel,376691526553.276,402470513619.148,413267669231.522,488526545878.891
Italy,2091932426266.98,2011302198827.45,1896755301518.14,2107702842669.73
Jamaica,15730793852.7913,15830768549.8916,13812425036.5864,14657586937.0735
Jordan,43370860549.1337,44993992365.1297,44182298291.8206,45744271658.9141
Japan,5037835383110.97,5123318151510.62,5040107754084.11,4940877780755.33
Kazakhstan,179339994859.384,181667190075.541,171082379532.988,197112255360.612
Kenya,92202956320.532,100379713697.421,100666542665.72,110347079517.356
Kyrgyz Republic,8271108638.39931,8871026074.19762,7780874536.66054,8543423502.6134
Cambodia,24571753583.4922,27089389786.979,25872798012.1938,26961061119.7957
Kiribati,196230573.819486,177935349.322211,180911843.644622,207031250.0
St. Kitts and Nevis,1076911111.11111,1107840740.74074,884525925.925926,860840740.740741
"Korea, Rep.",1724845615629.26,1651422932447.77,1644312831906.17,1810955871380.98
Kuwait,138182400493.585,136196760180.976,105960225688.145,
Latin America & Caribbean (excluding high income),4841460278719.31,4773979941240.86,3997651287256.03,4585103994306.3
Lao PDR,18141651381.3884,18740559554.1632,18981800705.0794,18827148509.5798
Lebanon,54901519155.6219,51953744530.2445,31712128253.7961,23131940280.7316
Liberia,3422754800.0,3319596500.0,3039982500.0,3509000000.0
Libya,76684175824.1758,69252306372.0232,50357312594.5129,42817472975.3677
St. Lucia,2057067919.33041,2094201725.17451,1516015718.73491,1691275156.6002
Latin America & Caribbean,5702982500305.36,5618711473342.91,4742371960398.12,5454428996198.05
Least developed countries: UN classification,1098537349148.7,1153041256783.79,1176576556341.42,1280907562189.61
Low income,495876417677.63,504129640270.574,508740161134.52,562977782713.026
Liechtenstein,6692504346.04765,6427248943.44939,6113951011.71459,
Sri Lanka,94493847351.6433,89014990791.9051,85349112170.9594,88927263724.8592
Lower middle income,7599755889622.71,7908592833397.55,7617243123611.1,8742534530876.31
Low & middle income,31369907274849.6,32079765914807.5,30948393969161.3,36370594658882.7
Lesotho,2553495915.79202,2453980835.24819,2231214507.47611,2496134680.31694
Late-demographic dividend,22620813548078.7,23047002747227.5,22493447284783.0,26622141277937.0
Lithuania,53751411409.4447,54751510087.7803,56846622904.4391,66445256585.3671
Luxembourg,71000359760.4611,69825641851.0117,73992591285.3029,85506243833.7816
Latvia,34429023435.0211,34343961072.8235,34601740323.3386,39853501579.8211
"Macao SAR, China",55284360483.1217,55204758069.5124,25459563655.4806,30123914808.5691
St. Martin (French part),,,,
Morocco,127341174715.803,128919944681.869,121348138320.276,142866329198.42
Monaco,7194024563.06094,7383745662.15157,6739691604.79726,8596096984.03312
Moldova,11457443185.0542,11971345002.7757,11859730543.5525,13679221333.2052
Madagascar,13760033096.5211,14104664514.8681,13051441059.3338,14472603322.5571
Maldives,5300962659.51088,5609400721.62268,3746321936.37729,5405576235.79462
Middle East & North Africa,3477248660639.78,3472047486173.32,3115703083275.4,3679844251878.64
Mexico,1222408203104.3,1269011767478.56,1090515389749.41,1272839334119.3
Marshall Islands,219330300.0,232092300.0,241722400.0,259538700.0
Middle income,30904257823566.6,31590337549585.4,30468597959817.3,35845142448794.2
North Macedonia,12683070061.4695,12606338448.547,12363580534.6811,13825049831.7959
Mali,17070866299.0945,17280251193.9527,17465392915.9153,19140461605.8227
Malta,15298771846.9532,15725847979.4022,14933066818.9606,17364044943.8202
Myanmar,67144725830.5753,68697759361.231,78930257227.0908,65091751273.2879
Middle East & North Africa (excluding high income),1390805044174.12,1393571952376.11,1274090477533.63,1493751699435.47
Montenegro,5506766650.92111,5542053845.29274,4769860740.74074,5861268038.7982
Mongolia,13178094459.4548,14206359006.8095,13312981594.573,15286441818.1437
Northern Mariana Islands,1302000000.0,1182000000.0,,
Mozambique,14845402473.5521,15390039241.674,14028811071.7628,15776758632.8573
Mauritania,7473550557.07378,8066126312.31807,8405491201.74674,9996249658.23982
Mauritius,14735695930.9727,14436353897.9802,11401050654.5624,11529042672.3528
Malawi,9880675785.93057,11025371147.1876,12182348212.7073,12626717491.8941
Malaysia,358791603677.728,365175135787.568,337337932675.152,372980957208.023
North America,22265612481783.0,23130414629482.3,22712784167568.4,25310703498717.4
Namibia,13682062250.8152,12541928104.6242,10581585630.0773,12310595843.9353
New Caledonia,9846922416.14776,9438130987.37298,9435529927.2471,10071351960.0477
Niger,12808660528.0617,12916455161.1081,13744174689.9681,14915001426.9724
Nigeria,421739210176.152,448120015209.524,432198936002.177,440833583992.485
Nicaragua,13025239912.2751,12596636042.2321,12586970511.4131,14013022092.0645
Netherlands,914043438179.607,910194347568.626,909793466661.481,1012846760976.73
Norway,436999692591.454,404941363636.364,362198318435.26,482174854481.956
Nepal,33111525871.9538,34186190995.9565,33433670511.9364,36288830373.4106
Nauru,124021393.690412,118724073.809183,114626625.553023,133218896.932607
New Zealand,211953111035.513,213434571357.984,211734532308.013,249885687029.634
OECD members,53365828417753.3,53878590811090.2,52517052000302.5,58268353654249.4
Oman,91505851755.5267,88060858257.4772,75909397659.2978,88191977373.212
Other small states,442887552059.799,433363259897.155,378315467558.569,453948317534.684
Pakistan,356128224957.085,320909489229.723,300425666773.043,348262544719.178
Panama,64929400000.0,66984400000.0,53977000000.0,63605100000.0
Peru,222597212925.211,228323495040.901,201705055938.653,223249497500.387
Philippines,346842094175.24,376823278560.849,361751116292.541,394086401171.168
Palau,284900000.0,278900000.0,251900000.0,217800000.0
Papua New Guinea,24109509852.7402,24751344560.8856,23848265895.9538,26594305745.554
Poland,588782567765.872,596054591863.312,599449188399.108,679444832854.295
Pre-demographic dividend,1356085560647.62,1401120806330.91,1316350192560.25,1434259111659.57
Puerto Rico,100958100000.0,105126400000.0,103020300000.0,106525700000.0
"Korea, Dem. People's Rep.",,,,
Portugal,242313116577.967,239986922638.902,229031860520.777,253663144586.019
Paraguay,40225448340.6322,37925338329.1494,35432178068.1814,39495431574.1782
West Bank and Gaza,16276600000.0,17133500000.0,15531700000.0,18036800000.0
Pacific island small states,10753159457.0687,10736233419.3753,9515995237.06002,9481916212.12622
Post-demographic dividend,50380112486266.0,50879345159852.0,49697795866801.5,54972726099855.9
French Polynesia,6135117589.07754,6001384759.57628,5709421968.74051,6054676735.37523
Qatar,183334953818.681,175837550989.011,144411363345.27,179677211793.938
Romania,243317079358.636,251019278416.197,251362040527.804,284087563695.798
Russian Federation,1657329646183.62,1693113904262.89,1489362488439.76,1778782625793.74
Rwanda,9642440645.81148,10356327149.4262,10184345442.1708,11070356519.4804
South Asia,3534209018062.62,3653950915835.84,3487013484521.62,4088770638066.94
Saudi Arabia,816578674529.141,803616264791.024,703367841222.555,833541236569.315
Sudan,32333780383.2924,32338079165.2893,27034593750.0,34326058557.4418
Senegal,23116897847.0474,23398811423.578,24493157583.2282,27625388352.1688
Singapore,376998146500.593,375472731271.075,345295933898.674,396986899888.351
Solomon Islands,1615479408.99088,1619154819.29185,1536148245.54995,1631486531.92364
Sierra Leone,4085114794.22324,4076578542.56207,4063289449.58795,4042237864.28942
El Salvador,26020850000.0,26881140000.0,24563020000.0,28736940000.0
San Marino,1655300872.53427,1616188702.34405,1541204337.79164,
Somalia,5856000006.22196,6485000000.0,6883000000.0,7628000011.46184
Serbia,50640650221.4622,51514222381.8428,53356480453.8048,63082047649.8528
Sub-Saharan Africa (excluding high income),1780721336679.5,1801676535161.84,1717749672914.59,1927598981029.07
South Sudan,,,,
Sub-Saharan Africa,1782358990338.71,1803362506027.61,1719009523108.91,1929052252557.39
Small states,529991321740.281,521527918170.426,453728268085.958,538706065410.038
Sao Tome and Principe,412253809.728799,427425039.684339,472551022.513384,526653790.670814
Suriname,3996204757.11893,4016040575.08796,2911807496.20227,2984706243.65482
Slovak Republic,106137924015.593,105720354988.541,106696828625.55,116527101097.7
Slovenia,54177882425.8431,54331588482.3058,53706800043.6842,61748586534.8672
Sweden,555455371487.089,533879529188.454,547054174235.876,635663801201.765
Eswatini,4665237415.12526,4495264160.86577,3982226055.38454,4743335152.94181
Sint Maarten (Dutch part),1185474860.3352,,,
Seychelles,1636312009.83387,1684373490.19831,1261198524.11092,1454458183.85981
Syrian Arab Republic,21351730539.3113,22443299775.342,11079795397.2805,
Turks and Caicos Islands,1113178000.0,1197415000.0,924583000.0,943269800.0
Chad,11239167048.4916,11314951342.7807,10715396135.4168,11779980801.7843
East Asia & Pacific (IDA & IBRD countries),16619046649580.0,17185732294158.7,17464369876211.7,20725171469830.4
Europe & Central Asia (IDA & IBRD countries),4076952761850.13,4158041868619.31,3891716780502.41,4550386471314.9
Togo,7112200725.00232,7220395247.7424,7574636978.66175,8413200567.6151
Thailand,506754616189.315,544081056184.697,499681757030.968,505947037098.424
Tajikistan,7765014424.33779,8300784856.87904,8133996647.90397,8746270636.40142
Turkmenistan,40765428571.4286,45231428571.4286,,
Latin America & the Caribbean (IDA & IBRD countries),5461289535166.39,5367417073061.3,4494455537224.68,5183127352776.93
Timor-Leste,1563887943.80061,2028551627.60532,2158392539.93697,3621222382.15929
Middle East & North Africa (IDA & IBRD countries),1374528444174.12,1376425284814.72,1258548859986.87,1475707612624.83
Tonga,488903272.859878,512057749.020644,484806718.323882,469231309.539488
South Asia (IDA & IBRD),3534209018062.62,3653950915835.84,3487013484521.62,4088770638066.94
Sub-Saharan Africa (IDA & IBRD countries),1782358990338.71,1803362506027.61,1719009523108.91,1929052252557.38
Trinidad and Tobago,24322359034.7096,23849557811.8957,21059428851.4883,24460196270.6866
Tunisia,42685972269.4473,41906113685.9324,42537832456.2651,46686741814.278
Turkiye,778471900960.981,759937390496.669,720289368333.191,819035182929.585
Tuvalu,47818290.4961148,54223149.1136601,55054710.6186773,63100961.5384615
Tanzania,57003685911.9411,61136873692.3985,62409709110.9538,67841049193.3855
Uganda,32927025573.4296,35353060634.2022,37600368180.9399,40529789025.5702
Ukraine,130891049796.879,153882982016.281,156617861448.576,200085537744.354
Upper middle income,23304501933943.9,23681744716187.8,22851374975033.8,27104087422750.6
Uruguay,64515038268.1373,61231149880.5857,53560755046.6162,59319484710.6527
United States,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0
Uzbekistan,52633143808.1824,59907674027.4676,59894305352.8955,69238903106.1738
St. Vincent and the Grenadines,884328185.185185,910149703.703704,872134555.555555,904181492.766708
"Venezuela, RB",,,,
British Virgin Islands,,,,
Virgin Islands (U.S.),3922000000.0,4117000000.0,4204000000.0,
Vietnam,310106472642.968,334365257436.758,346615750664.384,366137590600.699
Vanuatu,914736985.430944,936526267.622513,896879875.195008,956332655.718234
World,86466958777951.7,87654250895445.7,85116336691718.7,96527425918257.8
Samoa,878435084.164589,912944537.815126,868904477.722589,843842416.462442
Kosovo,7878508502.59802,7899879086.43081,7716925356.12536,9412034299.23122
"Yemen, Rep.",21606161066.2074,,,
South Africa,404159690890.846,388531954110.604,337619680138.494,419015018371.887
Zambia,26311590296.7021,23308667781.2258,18110631358.3114,22147634727.3584
Zimbabwe,34156069918.0609,21832234925.5021,21509698406.1116,28371238665.5116
